Shadipur  - Patel Nagar  - Patel Nagar ,"[28.6516, 77.1582]","[28.6544, 77.1689]","[{""lat"":28.6537958,""lng"":77.1545009},{""lat"":28.6536976,""lng"":77.154378},{""lat"":28.6539902,""lng"":77.15462060000002},{""lat"":28.6538795,""lng"":77.1545481},{""lat"":28.6482459,""lng"":77.1640807},{""lat"":28.6542762,""lng"":77.1687305}]"
Patel Nagar  - Rajendre Place  - Rajendre Place ,"[28.6544, 77.1689]","[28.6425, 77.1782]","[{""lat"":28.650185,""lng"":77.16557840000002},{""lat"":28.6466497,""lng"":77.1667605},{""lat"":28.6423432,""lng"":77.17391119999999},{""lat"":28.6421425,""lng"":77.17490269999999},{""lat"":28.6425535,""lng"":77.1781891}]"
Rajendre Place  - Karol Baagh  - Karol Baagh ,"[28.6425, 77.1782]","[28.653, 77.1924]","[{""lat"":28.6440216,""lng"":77.1882152},{""lat"":28.6514302,""lng"":77.1931582},{""lat"":28.65217,""lng"":77.1918005},{""lat"":28.6530034,""lng"":77.1923941}]"
Karol Baagh  - Jhandewalan  - Jhandewalan ,"[28.653, 77.1924]","[28.6473, 77.2028]","[{""lat"":28.653023,""lng"":77.1924087},{""lat"":28.6472606,""lng"":77.2027786}]"
Jhandewalan  - Ramakrishna Ashram Marg  - Ramakrishna Ashram Marg ,"[28.6473, 77.2028]","[28.6392, 77.2085]","[{""lat"":28.6467098,""lng"":77.2051891},{""lat"":28.6432295,""lng"":77.2035538},{""lat"":28.6376046,""lng"":77.2115475},{""lat"":28.6391976,""lng"":77.2084982}]"
Ramakrishna Ashram Marg  - Janpath  - Janpath ,"[28.6392, 77.2085]","[28.6155, 77.2186]","[{""lat"":28.6393892,""lng"":77.20817029999999},{""lat"":28.6339311,""lng"":77.20561699999999},{""lat"":28.6278478,""lng"":77.2051906},{""lat"":28.6274026,""lng"":77.2061023},{""lat"":28.6267691,""lng"":77.2073284},{""lat"":28.6237284,""lng"":77.2124764},{""lat"":28.6218917,""lng"":77.2156246},{""lat"":28.6202464,""lng"":77.2184379},{""lat"":28.6154992,""lng"":77.2186219}]"
Janpath  - Talkatora Stadium  - Talkatora Stadium ,"[28.6155, 77.2186]","[28.6263, 77.1965]","[{""lat"":28.6193922,""lng"":77.2187498},{""lat"":28.6231647,""lng"":77.2130608},{""lat"":28.6265057,""lng"":77.2071295},{""lat"":28.6265379,""lng"":77.2061151},{""lat"":28.6240845,""lng"":77.2004407},{""lat"":28.6232319,""lng"":77.19824559999999},{""lat"":28.6233648,""lng"":77.19794259999999},{""lat"":28.6252308,""lng"":77.1980384},{""lat"":28.6266634,""lng"":77.19548999999999},{""lat"":28.6262898,""lng"":77.19649199999999}]"
Talkatora Stadium  - Patel Chowk Metro  - Patel Chowk Metro ,"[28.6263, 77.1965]","[28.623, 77.2141]","[{""lat"":28.6242472,""lng"":77.20004310000002},{""lat"":28.626855,""lng"":77.2059215},{""lat"":28.6267691,""lng"":77.2073284},{""lat"":28.6237284,""lng"":77.2124764},{""lat"":28.6227882,""lng"":77.2139345},{""lat"":28.622785,""lng"":77.2140469}]"
Patel Chowk Metro  - Karnatka Bhawan  - Karnatka Bhawan ,"[28.623, 77.2141]","[28.6046, 77.1864]","[{""lat"":28.6225907,""lng"":77.2142652},{""lat"":28.6218917,""lng"":77.2156246},{""lat"":28.6231647,""lng"":77.2130608},{""lat"":28.6265057,""lng"":77.2071295},{""lat"":28.6265379,""lng"":77.2061151},{""lat"":28.6240845,""lng"":77.2004407},{""lat"":28.6099574,""lng"":77.1914561},{""lat"":28.6041987,""lng"":77.1849986},{""lat"":28.6041012,""lng"":77.1850793},{""lat"":28.6048404,""lng"":77.186176}]"
Karnatka Bhawan  - Dhaula kuan  - Dhaula kuan ,"[28.6046, 77.1864]","[30.462, 77.4817]","[{""lat"":28.6041012,""lng"":77.1850793},{""lat"":28.6041987,""lng"":77.1849986},{""lat"":28.5954155,""lng"":77.1683133},{""lat"":28.5928058,""lng"":77.16834},{""lat"":28.5932314,""lng"":77.166771},{""lat"":28.7101063,""lng"":77.17565359999999},{""lat"":28.712034,""lng"":77.1742451},{""lat"":29.719174,""lng"":76.9817908},{""lat"":29.99562,""lng"":77.0488532},{""lat"":30.0213478,""lng"":77.135434},{""lat"":30.1190037,""lng"":77.26647},{""lat"":30.118926,""lng"":77.2808866},{""lat"":30.1187916,""lng"":77.2876907},{""lat"":30.4372457,""lng"":77.57594879999999},{""lat"":30.5015144,""lng"":77.48325369999999},{""lat"":30.498933,""lng"":77.48281589999999}]"
Dhaula kuan  - Gopi nath bazaar  - Gopi nath bazaar ,"[30.462, 77.4817]","[28.5965, 77.1348]","[{""lat"":30.5015144,""lng"":77.48325369999999},{""lat"":30.4372457,""lng"":77.57594879999999},{""lat"":30.118748,""lng"":77.2878049},{""lat"":30.1188686,""lng"":77.2808506},{""lat"":30.1189237,""lng"":77.26636979999999},{""lat"":30.0213478,""lng"":77.135434},{""lat"":29.9956634,""lng"":77.0489479},{""lat"":29.7192769,""lng"":76.9821083},{""lat"":29.7097816,""lng"":77.0015118},{""lat"":29.7038135,""lng"":77.006376},{""lat"":28.7384885,""lng"":77.1543296},{""lat"":28.7322767,""lng"":77.1831278},{""lat"":28.7119251,""lng"":77.1791405},{""lat"":28.7080847,""lng"":77.1742222},{""lat"":28.6060396,""lng"":77.1438891},{""lat"":28.6056419,""lng"":77.14423699999999},{""lat"":28.6074514,""lng"":77.1412969},{""lat"":28.6022093,""lng"":77.1348071},{""lat"":28.5968995,""lng"":77.1321711},{""lat"":28.5965906,""lng"":77.1349175},{""lat"":28.5964773,""lng"":77.1348692}]"
Gopi nath bazaar  - Nangal Village  - Nangal Village ,"[28.5965, 77.1348]","[31.37, 76.38]","[{""lat"":28.5965906,""lng"":77.1349175},{""lat"":28.5965881,""lng"":77.13235879999999},{""lat"":28.6021787,""lng"":77.1346837},{""lat"":28.6079882,""lng"":77.1407414},{""lat"":28.7101063,""lng"":77.17565359999999},{""lat"":28.712034,""lng"":77.1742451},{""lat"":30.1694402,""lng"":76.8625994},{""lat"":30.1752144,""lng"":76.8619746},{""lat"":30.4092021,""lng"":76.72680439999999},{""lat"":30.6732951,""lng"":76.671161},{""lat"":30.6863514,""lng"":76.6683113},{""lat"":30.6910149,""lng"":76.6643704},{""lat"":30.7496995,""lng"":76.6412117},{""lat"":31.1799211,""lng"":76.5665152},{""lat"":31.3770496,""lng"":76.37179669999999},{""lat"":31.3822225,""lng"":76.3726703},{""lat"":31.3699187,""lng"":76.3797666}]"
Nangal Village  - Dabri  - Dabri ,"[31.37, 76.38]","[28.6097, 77.0895]","[{""lat"":31.3822225,""lng"":76.3726703},{""lat"":31.3773681,""lng"":76.3717891},{""lat"":31.1797659,""lng"":76.5670203},{""lat"":30.7497748,""lng"":76.6412325},{""lat"":30.6910354,""lng"":76.664434},{""lat"":30.686415,""lng"":76.6683855},{""lat"":30.6733263,""lng"":76.6712592},{""lat"":30.4093101,""lng"":76.72687359999999},{""lat"":30.174635,""lng"":76.8627673},{""lat"":30.1690255,""lng"":76.8630603},{""lat"":29.7097816,""lng"":77.0015118},{""lat"":29.7038135,""lng"":77.006376},{""lat"":28.7384885,""lng"":77.1543296},{""lat"":28.7322767,""lng"":77.1831278},{""lat"":28.7119251,""lng"":77.1791405},{""lat"":28.7080847,""lng"":77.1742222},{""lat"":28.640507,""lng"":77.12893389999999},{""lat"":28.6380294,""lng"":77.12999289999999},{""lat"":28.6375465,""lng"":77.1301711},{""lat"":28.6150051,""lng"":77.1078285},{""lat"":28.60846,""lng"":77.1024028},{""lat"":28.6091764,""lng"":77.0993081},{""lat"":28.6092878,""lng"":77.0954709},{""lat"":28.6084565,""lng"":77.0954391},{""lat"":28.60911,""lng"":77.0894722},{""lat"":28.6097002,""lng"":77.0894879}]"
Dabri  - Sita puri  - Sita puri ,"[28.6097, 77.0895]","[24.5738, 73.727]","[{""lat"":28.60911,""lng"":77.0894722},{""lat"":28.6109833,""lng"":77.0841595},{""lat"":28.6043238,""lng"":77.08281769999999},{""lat"":28.5929196,""lng"":77.0810602},{""lat"":28.5923865,""lng"":77.0819985},{""lat"":28.5820616,""lng"":77.0945585},{""lat"":28.5675011,""lng"":77.1285188},{""lat"":28.5704794,""lng"":77.13409899999999},{""lat"":28.5701611,""lng"":77.1349735},{""lat"":28.568825,""lng"":77.1344304},{""lat"":28.3810553,""lng"":76.96546409999999},{""lat"":28.1985672,""lng"":76.7436366},{""lat"":28.0220271,""lng"":76.4839006},{""lat"":27.8034791,""lng"":76.2427378},{""lat"":27.2338001,""lng"":75.94864989999999},{""lat"":27.2263943,""lng"":75.94373350000001},{""lat"":26.5900262,""lng"":74.907403},{""lat"":26.5845287,""lng"":74.9042422},{""lat"":26.3212826,""lng"":74.7456414},{""lat"":26.3188011,""lng"":74.7451857},{""lat"":24.8463487,""lng"":74.5808977},{""lat"":24.8345703,""lng"":74.5722449},{""lat"":24.6080477,""lng"":74.2992308},{""lat"":24.6180912,""lng"":74.0189836},{""lat"":24.6154609,""lng"":73.99998769999999},{""lat"":24.5966564,""lng"":73.78517149999999},{""lat"":24.5899106,""lng"":73.747332},{""lat"":24.5819703,""lng"":73.7220695},{""lat"":24.5765517,""lng"":73.7240767},{""lat"":24.5759397,""lng"":73.7271134},{""lat"":24.5744456,""lng"":73.7265134},{""lat"":24.5742966,""lng"":73.72696169999999},{""lat"":24.5738661,""lng"":73.7267944}]"
Sita puri  - Asalatpur Village  - Asalatpur Village ,"[24.5738, 73.727]","[28.6217, 77.077]","[{""lat"":24.5742966,""lng"":73.72696169999999},{""lat"":24.5744456,""lng"":73.7265134},{""lat"":24.5820296,""lng"":73.72194569999999},{""lat"":24.5948854,""lng"":73.77553879999999},{""lat"":24.6140427,""lng"":74.1954346},{""lat"":24.6080652,""lng"":74.2990332},{""lat"":24.8356948,""lng"":74.57388639999999},{""lat"":26.3133771,""lng"":74.7479457},{""lat"":26.5845719,""lng"":74.90409919999999},{""lat"":26.888442,""lng"":75.73609359999999},{""lat"":27.228683,""lng"":75.9477977},{""lat"":27.229087,""lng"":75.9480411},{""lat"":28.2053255,""lng"":76.7834244},{""lat"":28.5653536,""lng"":77.1339232},{""lat"":28.5691117,""lng"":77.1243183},{""lat"":28.5877218,""lng"":77.0842476},{""lat"":28.5906644,""lng"":77.08247089999999},{""lat"":28.5923094,""lng"":77.0814212},{""lat"":28.5924022,""lng"":77.08104279999999},{""lat"":28.6104849,""lng"":77.08340919999999},{""lat"":28.6131463,""lng"":77.086384},{""lat"":28.6137824,""lng"":77.0857047},{""lat"":28.6175331,""lng"":77.0779725},{""lat"":28.6198899,""lng"":77.07942779999999},{""lat"":28.6217722,""lng"":77.0782708},{""lat"":28.621923,""lng"":77.0772937},{""lat"":28.6216611,""lng"":77.07706069999999}]"
Asalatpur Village  - Uttam Nager West  - Uttam Nager West ,"[28.6217, 77.077]","[28.6218, 77.0558]","[{""lat"":28.6221171,""lng"":77.0774211},{""lat"":28.6224794,""lng"":77.0767195},{""lat"":28.6230982,""lng"":77.07259169999999},{""lat"":28.6209409,""lng"":77.0710713},{""lat"":28.622262,""lng"":77.0689397},{""lat"":28.6242178,""lng"":77.0640154},{""lat"":28.6223463,""lng"":77.05876289999999},{""lat"":28.6230553,""lng"":77.05869729999999},{""lat"":28.6240713,""lng"":77.0586795},{""lat"":28.6241558,""lng"":77.0541069},{""lat"":28.621491,""lng"":77.0540497},{""lat"":28.6218365,""lng"":77.05578919999999}]"
